GameID,Date,home_team,away_team,home_score,away_score,winner,venue
MIN201903280,"March 28, 2019",Minnesota Twins,Cleveland Indians,2,0,Minnesota Twins,Target Field
OAK201903280,"March 28, 2019",Oakland Athletics,Los Angeles Angels,4,0,Oakland Athletics,Oakland-Alameda County Coliseum
OAK201903210,"March 21, 2019",Oakland Athletics,Seattle Mariners,4,5,Seattle Mariners,Tokyo Dome
NYA201903280,"March 28, 2019",New York Yankees,Baltimore Orioles,7,2,New York Yankees,Yankee Stadium III
KCA201903280,"March 28, 2019",Kansas City Royals,Chicago White Sox,5,3,Kansas City Royals,Kauffman Stadium
LAN201903280,"March 28, 2019",Los Angeles Dodgers,Arizona Diamondbacks,12,5,Los Angeles Dodgers,Dodger Stadium
OAK201903200,"March 20, 2019",Oakland Athletics,Seattle Mariners,7,9,Seattle Mariners,Tokyo Dome
PHI201903280,"March 28, 2019",Philadelphia Phillies,Atlanta Braves,10,4,Philadelphia Phillies,Citizens Bank Park
MIA201903280,"March 28, 2019",Miami Marlins,Colorado Rockies,3,6,Colorado Rockies,Marlins Park
MIL201903280,"March 28, 2019",Milwaukee Brewers,St. Louis Cardinals,5,4,Milwaukee Brewers,Miller Park
SDN201903280,"March 28, 2019",San Diego Padres,San Francisco Giants,2,0,San Diego Padres,Petco Park
WAS201903280,"March 28, 2019",Washington Nationals,New York Mets,0,2,New York Mets,Nationals Park
CIN201903280,"March 28, 2019",Cincinnati Reds,Pittsburgh Pirates,5,3,Cincinnati Reds,Great American Ball Park
TEX201903280,"March 28, 2019",Texas Rangers,Chicago Cubs,4,12,Chicago Cubs,Globe Life Park in Arlington
TOR201903280,"March 28, 2019",Toronto Blue Jays,Detroit Tigers,0,2,Detroit Tigers,Rogers Centre
SEA201903280,"March 28, 2019",Seattle Mariners,Boston Red Sox,12,4,Seattle Mariners,T-Mobile Park
TBA201903280,"March 28, 2019",Tampa Bay Rays,Houston Astros,1,5,Houston Astros,Tropicana Field
LAN201903290,"March 29, 2019",Los Angeles Dodgers,Arizona Diamondbacks,4,5,Arizona Diamondbacks,Dodger Stadium
MIL201903290,"March 29, 2019",Milwaukee Brewers,St. Louis Cardinals,5,9,St. Louis Cardinals,Miller Park
SDN201903290,"March 29, 2019",San Diego Padres,San Francisco Giants,4,1,San Diego Padres,Petco Park
MIA201903300,"March 30, 2019",Miami Marlins,Colorado Rockies,7,3,Miami Marlins,Marlins Park
SEA201903290,"March 29, 2019",Seattle Mariners,Boston Red Sox,6,7,Boston Red Sox,T-Mobile Park
TBA201903290,"March 29, 2019",Tampa Bay Rays,Houston Astros,4,2,Tampa Bay Rays,Tropicana Field
